|               wave | ion | NIST | Instr |           amplitude |       Source |
|  12158.26133578116 |  OH |    1 |    32 |   26.09700476185962 | wavemodel.py |
| 12176.371418810515 |  OH |    1 |    32 |  0.9548972799287124 | wavemodel.py |
| 12183.255609861913 |  OH |    1 |    32 |   8.572894215290676 | wavemodel.py |
|  12199.72358983425 |  OH |    1 |    32 |   39.91911873163432 | wavemodel.py |
|  12207.38988978449 |  OH |    1 |    32 | 0.32895149076948943 | wavemodel.py |
| 12214.431714749406 |  OH |    1 |    32 |   2.206863388315243 | wavemodel.py |
| 12232.640516696762 |  OH |    1 |    32 |  133.90875147126735 | wavemodel.py |
| 12251.965824844316 |  OH |    1 |    32 |  0.5064982784753255 | wavemodel.py |
|  12261.08323723845 |  OH |    1 |    32 |  49.437918743110444 | wavemodel.py |
| 12290.350697620968 |  OH |    1 |    32 |  150.78254355004177 | wavemodel.py |
| 12329.285753173377 |  OH |    1 |    32 |   43.81987061399952 | wavemodel.py |
| 12354.976687237573 |  OH |    1 |    32 |  108.93045076627706 | wavemodel.py |
| 12404.271108543075 |  OH |    1 |    32 |   25.68676358219691 | wavemodel.py |
|  12426.74578864914 |  OH |    1 |    32 |   55.15867173161069 | wavemodel.py |
| 12486.122853465278 |  OH |    1 |    32 |  12.755357254403263 | wavemodel.py |
| 12505.836588553673 |  OH |    1 |    32 |  22.414577691382487 | wavemodel.py |
| 12575.019192049083 |  OH |    1 |    32 |   4.141135014147797 | wavemodel.py |
|  12592.42724892335 |  OH |    1 |    32 |   6.926219482333472 | wavemodel.py |
|  12671.19950666052 |  OH |    1 |    32 |   1.223386223854636 | wavemodel.py |
| 12686.690532150022 |  OH |    1 |    32 |  1.6844973081851207 | wavemodel.py |
| 12751.590372822102 |  OH |    1 |    32 |   7.651496336563834 | wavemodel.py |
| 12756.299674034617 |  OH |    1 |    32 |   27.55515490511621 | wavemodel.py |
| 12767.899517762708 |  OH |    1 |    32 |   46.71900058496338 | wavemodel.py |
|  12774.94778719819 |  OH |    1 |    32 | 0.27115708634532776 | wavemodel.py |
| 12780.595345418404 |  OH |    1 |    32 |   19.90691891180295 | wavemodel.py |
| 12786.065955216014 |  OH |    1 |    32 |   80.97660231536074 | wavemodel.py |
|   12805.0450587022 |  OH |    1 |    32 |   31.43898963200968 | wavemodel.py |
| 12810.486923940982 |  OH |    1 |    32 |   81.15137453334438 | wavemodel.py |
| 12838.074917904903 |  OH |    1 |    32 |  30.362281233050133 | wavemodel.py |
|  12909.19181479209 |  OH |    1 |    32 |   201.5035430463977 | wavemodel.py |
|   12919.3330399178 |  OH |    1 |    32 |  6.4721253248169175 | wavemodel.py |
